Driver,Team,Year,Race,SessionType,LapNumber,Stint,Compound,TyreLife,CumulativeTireWear,LapTime_sec,TrackStatus,Position,IsPersonalBest,FuelEffectProxy,LapProgress,AvgSectorTime,Speed_mean,Speed_max,Throttle_mean,Brake_mean,DRS_activations,Gear_mean,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
OCO,Alpine,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,99.948,1,11.0,True,0.9473684210526316,0.05263157894736842,33.316,193.81233243967827,308.0,61.39142091152815,0.24664879356568364,868,4.849865951742627,27.3,31.2,22.0,1016.7,False,204,0.4
ALB,Williams,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,100.143,1,12.0,True,0.9473684210526316,0.05263157894736842,33.381,193.81989247311827,318.0,55.733870967741936,0.2553763440860215,832,5.354838709677419,27.3,31.2,22.0,1016.7,False,204,0.4
SAR,Williams,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,100.349,1,13.0,True,0.9473684210526316,0.05263157894736842,33.449666666666666,193.53225806451613,314.0,57.733870967741936,0.23118279569892472,870,5.397849462365591,27.3,31.2,22.0,1016.7,False,204,0.4
HUL,Haas F1 Team,2023,Bahrain,R,3,1.0,SOFT,6.0,36.0,100.484,1,14.0,True,0.9473684210526316,0.05263157894736842,33.49466666666667,194.8391420911528,308.0,62.498659517426276,0.225201072386059,894,5.168900804289544,27.3,31.2,22.0,1016.7,False,204,0.4
TSU,AlphaTauri,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,100.243,1,15.0,True,0.9473684210526316,0.05263157894736842,33.41433333333333,194.19892473118279,311.0,61.13978494623656,0.21236559139784947,900,4.790322580645161,27.3,31.2,22.0,1016.7,False,204,0.4
PIA,McLaren,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,100.691,1,16.0,True,0.9473684210526316,0.05263157894736842,33.56366666666667,194.01340482573727,307.0,59.402144772117964,0.225201072386059,910,4.8766756032171585,27.3,31.2,22.0,1016.7,False,204,0.4
ZHO,Alfa Romeo,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,100.596,1,17.0,True,0.9473684210526316,0.05263157894736842,33.532000000000004,194.9758713136729,309.0,62.11796246648794,0.24396782841823056,946,5.294906166219839,27.3,31.2,22.0,1016.7,False,204,0.4
GAS,Alpine,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,100.643,1,18.0,False,0.9473684210526316,0.05263157894736842,33.547666666666665,193.92761394101876,306.0,59.92225201072386,0.20911528150134048,894,4.702412868632708,27.3,31.2,22.0,1016.7,False,204,0.4
DEV,AlphaTauri,2023,Bahrain,R,3,1.0,SOFT,3.0,9.0,100.914,1,19.0,True,0.9473684210526316,0.05263157894736842,33.638,192.624,311.0,64.048,0.224,738,4.848,27.3,31.2,22.0,1016.7,False,204,0.4
MAG,Haas F1 Team,2023,Bahrain,R,3,1.0,HARD,3.0,9.0,101.978,1,20.0,False,0.9473684210526316,0.05263157894736842,33.992666666666665,191.12401055408972,309.0,60.68337730870712,0.22163588390501318,600,4.905013192612137,27.3,31.2,22.0,1016.7,False,204,0.4
VER,Red Bull Racing,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,97.976,1,1.0,False,0.9298245614035088,0.07017543859649122,32.65866666666667,195.78684210526316,299.0,62.0921052631579,0.2,0,5.139473684210526,27.2,31.1,22.0,1016.9,False,236,0.8
LEC,Ferrari,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,98.825,1,2.0,False,0.9298245614035088,0.07017543859649122,32.94166666666666,194.38743455497382,307.0,63.74869109947644,0.20680628272251309,0,4.9188481675392675,27.2,31.1,22.0,1016.9,False,236,0.8
PER,Red Bull Racing,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,98.758,1,3.0,True,0.9298245614035088,0.07017543859649122,32.919333333333334,194.38684210526316,306.0,58.526315789473685,0.2394736842105263,0,4.8052631578947365,27.2,31.1,22.0,1016.9,False,236,0.8
SAI,Ferrari,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,98.985,1,4.0,False,0.9298245614035088,0.07017543859649122,32.995,194.23759791122714,326.0,62.92167101827676,0.2245430809399478,1220,5.101827676240209,27.2,31.1,22.0,1016.9,False,236,0.8
HAM,Mercedes,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,99.198,1,5.0,False,0.9298245614035088,0.07017543859649122,33.065999999999995,194.671875,314.0,63.567708333333336,0.20572916666666666,0,5.486979166666667,27.2,31.0,22.0,1016.7,False,206,1.0
RUS,Mercedes,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,99.261,1,6.0,False,0.9298245614035088,0.07017543859649122,33.086999999999996,194.5509138381201,326.0,61.32375979112272,0.21671018276762402,1202,5.0861618798955615,27.2,31.0,22.0,1016.7,False,206,1.0
ALO,Aston Martin,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,99.548,1,7.0,False,0.9298245614035088,0.07017543859649122,33.18266666666667,193.43116883116883,307.0,60.91688311688312,0.21818181818181817,0,5.220779220779221,27.2,31.0,22.0,1016.7,False,206,1.0
BOT,Alfa Romeo,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,99.823,1,8.0,False,0.9298245614035088,0.07017543859649122,33.27433333333334,193.74093264248705,312.0,64.5958549222798,0.24093264248704663,1072,5.150259067357513,27.2,31.0,22.0,1016.7,False,206,1.0
STR,Aston Martin,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,99.745,1,9.0,False,0.9298245614035088,0.07017543859649122,33.248333333333335,193.61498708010336,325.0,57.00516795865633,0.2248062015503876,1230,5.186046511627907,27.2,31.0,22.0,1016.7,False,206,1.0
OCO,Alpine,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,99.543,1,10.0,True,0.9298245614035088,0.07017543859649122,33.181000000000004,194.97916666666666,327.0,63.661458333333336,0.22916666666666666,700,4.768229166666667,27.2,31.0,22.0,1016.7,False,206,1.0
ALB,Williams,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,99.761,1,11.0,True,0.9298245614035088,0.07017543859649122,33.25366666666667,193.81606217616581,332.0,58.582901554404145,0.24611398963730569,1274,5.2927461139896375,27.2,31.0,22.0,1016.7,False,206,1.0
NOR,McLaren,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,102.267,1,12.0,False,0.9298245614035088,0.07017543859649122,34.089,188.64450127877237,288.0,60.91815856777494,0.23273657289002558,614,4.6138107416879794,27.2,31.0,22.0,1016.7,False,206,1.0
SAR,Williams,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,100.644,1,13.0,False,0.9298245614035088,0.07017543859649122,33.548,190.85529715762274,333.0,57.695090439276484,0.21705426356589147,1200,5.242894056847545,27.2,31.0,22.0,1016.7,False,206,1.0
TSU,AlphaTauri,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,99.95,1,14.0,True,0.9298245614035088,0.07017543859649122,33.31666666666667,191.43489583333334,334.0,61.778645833333336,0.203125,1218,4.666666666666667,27.2,31.0,22.0,1016.7,False,206,1.0
HUL,Haas F1 Team,2023,Bahrain,R,4,1.0,SOFT,7.0,49.0,101.004,1,15.0,False,0.9298245614035088,0.07017543859649122,33.668,189.8483290488432,332.0,60.11053984575835,0.22879177377892032,1228,5.048843187660668,27.2,31.0,22.0,1016.7,False,206,1.0
PIA,McLaren,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,100.718,1,16.0,False,0.9298245614035088,0.07017543859649122,33.57266666666666,189.32731958762886,328.0,60.91237113402062,0.22422680412371135,1044,4.724226804123711,27.2,31.0,22.0,1016.7,False,206,1.0
ZHO,Alfa Romeo,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,100.853,1,17.0,False,0.9298245614035088,0.07017543859649122,33.61766666666667,188.63659793814432,332.0,61.04123711340206,0.2268041237113402,1216,5.033505154639175,27.2,31.0,22.0,1016.7,False,206,1.0
GAS,Alpine,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,100.894,1,18.0,False,0.9298245614035088,0.07017543859649122,33.63133333333334,188.32474226804123,327.0,58.24226804123711,0.23195876288659795,1164,4.577319587628866,27.2,31.0,22.0,1016.7,False,206,1.0
DEV,AlphaTauri,2023,Bahrain,R,4,1.0,SOFT,4.0,16.0,100.373,1,19.0,True,0.9298245614035088,0.07017543859649122,33.45766666666666,189.99740932642487,310.0,61.8860103626943,0.24611398963730569,234,4.756476683937824,27.2,31.0,22.0,1016.7,False,206,1.0
MAG,Haas F1 Team,2023,Bahrain,R,4,1.0,HARD,4.0,16.0,100.773,1,20.0,True,0.9298245614035088,0.07017543859649122,33.591,189.8578811369509,329.0,57.7906976744186,0.2351421188630491,1170,4.9689922480620154,27.2,31.0,22.0,1016.7,False,206,1.0
VER,Red Bull Racing,2023,Bahrain,R,5,1.0,SOFT,8.0,64.0,98.035,1,1.0,False,0.9122807017543859,0.08771929824561403,32.678333333333335,197.12087912087912,301.0,60.88461538461539,0.20604395604395603,0,5.211538461538462,27.2,31.0,22.0,1016.9,False,225,0.6
LEC,Ferrari,2023,Bahrain,R,5,1.0,SOFT,5.0,25.0,98.664,1,2.0,False,0.9122807017543859,0.08771929824561403,32.888,198.34782608695653,308.0,67.1413043478261,0.19293478260869565,0,4.929347826086956,27.2,31.0,22.0,1016.9,False,225,0.6
PER,Red Bull Racing,2023,Bahrain,R,5,1.0,SOFT,8.0,64.0,98.404,1,3.0,True,0.9122807017543859,0.08771929824561403,32.80133333333334,196.97547683923705,307.0,63.013623978201636,0.2098092643051771,560,4.844686648501362,27.2,31.0,22.0,1016.9,False,225,0.6
SAI,Ferrari,2023,Bahrain,R,5,1.0,SOFT,8.0,64.0,99.128,1,4.0,False,0.9122807017543859,0.08771929824561403,33.04266666666666,194.8048780487805,326.0,63.84823848238482,0.2005420054200542,616,5.102981029810298,27.2,31.0,22.0,1016.9,False,225,0.6
HAM,Mercedes,2023,Bahrain,R,5,1.0,SOFT,8.0,64.0,99.335,1,5.0,False,0.9122807017543859,0.08771929824561403,33.11166666666667,194.1509433962264,312.0,63.509433962264154,0.21293800539083557,0,5.388140161725067,27.2,31.0,22.0,1016.9,False,225,0.6
